cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
jamarcus-russell-1,RussJa00,6,14.951207567091846,kent-graham-1,byron-leftwich-1,sammy-garza-1
jameis-winston-1,WinsJa00,44,15.536756158298473,sam-bradford-1,matt-schaub-1,dwayne-haskins-1
jared-goff-1,GoffJa00,43,14.240957387266679,tarvaris-jackson-1,jake-plummer-1,brett-favre-1
jason-campbell-1,CampJa00,36,22.580885420809306,josh-rosen-1,carson-palmer-1,ej-manuel-1
jay-cutler-1,CutlJa00,40,20.19211148222991,dak-prescott-1,jeff-blake-2,kevin-hogan-2
jeff-blake-2,BlakJe00,37,17.744109925682118,aaron-rodgers-1,deshone-kizer-1,brock-osweiler-1
jeff-driskel-1,DrisJe00,6,22.120208934208126,ej-manuel-1,jason-campbell-1,christian-ponder-1
jeff-george-1,GeorJe00,22,11.162153092336997,steve-beuerlein-1,will-grier-1,johnny-manziel-1
jesse-palmer-1,PalmJe00,1,15.361199097238346,peter-tom-willis-1,todd-collins-1,ryan-finley-1
jim-druckenmiller-1,DrucJi00,1,15.244408167756092,chad-pennington-1,byron-leftwich-1,moses-moreno-1
jim-harbaugh-1,HarbJi00,17,22.462392828235163,aaron-brooks-1,rex-grossman-1,jason-campbell-1
jim-miller-7,MillJi00,5,12.073872087634026,scott-secules-1,erik-wilhelm-1,michael-vick-1
jimmy-clausen-1,ClauJi00,4,17.210855901200766,matt-flynn-1,kurt-kittner-1,mason-rudolph-1
joe-flacco-1,FlacJo00,49,13.04529638794704,stoney-case-1,ken-dorsey-1,scott-secules-1
joe-germaine-1,GermJo00,1,12.378985171946669,kevin-sweeney-1,casey-weldon-1,anthony-dilweg-1
joey-harrington-1,HarrJo00,25,16.574741075934586,marcus-mariota-1,heath-shuler-1,scott-mitchell-2
john-beck-1,BeckJo00,4,16.531877929986063,charlie-whitehurst-1,charlie-frye-1,cody-pickett-1
johnny-manziel-1,ManzJo00,4,22.593821328232675,alex-smith-3,marc-bulger-1,matthew-stafford-1
jonathan-quinn-1,QuinJo00,3,14.206882972203552,scott-secules-1,steve-beuerlein-1,will-grier-1
josh-allen-7,AlleJo02,54,20.69779844827164,paul-justin-1,blaine-gabbert-1,blake-bortles-1
josh-freeman-1,FreeJo00,36,20.161104377983587,drew-bledsoe-1,blake-bortles-1,paul-justin-1
josh-mccown-1,McCoJo01,15,18.87940055143158,mike-glennon-1,charlie-batch-1,luke-falk-1
josh-rosen-1,RoseJo01,3,15.966351031644335,drew-bledsoe-1,matt-schaub-1,dan-orlovsky-1
kellen-clemens-1,ClemKe00,3,19.7430646093407,jason-campbell-1,jacoby-brissett-2,craig-krenzel-1
kelly-stouffer-1,StouKe00,2,11.952911503399191,patrick-ramsey-1,luke-mccown-1,michael-vick-1
ken-dorsey-1,DorsKe00,2,12.68621956321094,danny-kanell-1,craig-erickson-1,craig-erickson-1
kent-graham-1,GrahKe00,8,10.101748352883156,brock-huard-1,todd-marinovich-1,tj-rubley-1
kerry-collins-1,CollKe00,22,9.731529877632475,sammy-garza-1,jamarcus-russell-1,byron-leftwich-1
kevin-hogan-2,HogaKe00,2,20.49530317475633,christian-ponder-1,dak-prescott-1,andy-dalton-1
kevin-kolb-1,KolbKe00,5,19.533304455799108,baker-mayfield-1,charlie-frye-1,andy-dalton-1
kevin-sweeney-1,SweeKe00,2,19.189736420565218,mitch-trubisky-1,rick-mirer-1,tom-savage-1
kirk-cousins-1,CousKi00,16,14.064605064443976,vinny-testaverde-1,anthony-dilweg-1,tim-tebow-1
kordell-stewart-1,StewKo00,30,22.49953003139947,brett-hundley-1,ty-detmer-1,deshaun-watson-1
koy-detmer-1,DetmKo00,1,10.451846283698657,tim-couch-1,david-fales-1,anthony-dilweg-1
kurt-kittner-1,KittKu00,1,12.93086612654561,kyle-boller-1,cary-conklin-1,robert-griffin-iii-1
kyle-boller-1,BollKy00,14,20.129283930691113,matt-flynn-1,jimmy-clausen-1,brett-favre-1
kyle-orton-1,OrtoKy00,22,15.11217040729938,kurt-kittner-1,cary-conklin-1,jake-plummer-1
lamar-jackson-1,JackLa00,62,20.09066586165164,deshaun-watson-1,rob-johnson-1,brett-hundley-1
landry-jones-1,JoneLa02,4,14.733093548485757,tj-rubley-1,patrick-mahomes-1,kirk-cousins-1
luke-falk-1,FalkLu00,1,14.301909590961111,tim-tebow-1,chad-henne-1,bobby-hoying-1
luke-mccown-1,McCoLu00,6,20.424807287214247,charlie-batch-1,josh-mccown-1,geno-smith-1
marc-bulger-1,BulgMa00,37,10.278395915103559,david-fales-1,michael-vick-1,patrick-ramsey-1
marcus-mariota-1,MariMa01,43,24.279284349185467,matthew-stafford-1,johnny-manziel-1,deshaun-watson-1
mark-brunell-1,BrunMa00,40,19.53889640816639,heath-shuler-1,joey-harrington-1,billy-joe-hobert-1
mark-sanchez-1,SancMa00,28,13.359340357762898,sage-rosenfels-1,tony-graziani-1,ken-dorsey-1
mark-vlasic-1,VlasMa00,3,11.160762524581878,paxton-lynch-1,mitch-trubisky-1,danny-kanell-1
marques-tuiasosopo-1,TuiaMa00,1,22.016771793229747,seneca-wallace-1,dak-prescott-1,troy-aikman-1
mason-rudolph-1,RudoMa00,5,14.891266051122717,chris-simms-1,robert-griffin-iii-1,cody-kessler-1
matt-barkley-1,BarkMa00,3,17.15120383084916,eli-manning-1,jimmy-clausen-1,randy-fasani-1
matt-flynn-1,FlynMa00,3,14.740246078626948,moses-moreno-1,craig-krenzel-1,greg-mcelroy-1
matt-hasselbeck-1,HassMa00,18,17.117987455146686,jimmy-clausen-1,kyle-boller-1,brett-favre-1
matt-leinart-1,LeinMa00,12,15.081856057110615,randy-fasani-1,sage-rosenfels-1,peter-tom-willis-1
matt-mauck-1,MaucMa00,1,17.49096789737148,ryan-mallett-1,akili-smith-1,will-furrer-1
matt-ryan-1,RyanMa00,55,19.98773369316199,eli-manning-1,alex-van-pelt-1,randy-fasani-1
matt-schaub-1,SchaMa00,12,16.322315026734284,brock-huard-1,tommy-maddox-1,neil-odonnell-1
matthew-stafford-1,StafMa00,34,19.077798771042094,sam-bradford-1,jameis-winston-1,aaron-rodgers-1
michael-vick-1,VickMi00,40,20.26681347210168,marcus-mariota-1,johnny-manziel-1,alex-smith-3
mike-glennon-1,GlenMi00,13,11.437171829040105,marc-bulger-1,david-fales-1,tom-brady-1
mike-mcmahon-1,McMaMi00,5,21.544215839264766,kyle-boller-1,josh-mccown-1,matt-hasselbeck-1
mitch-trubisky-1,TrubMi00,35,20.93189833646646,aaron-brooks-1,tony-banks-1,matt-flynn-1
moses-moreno-1,MoreMo00,1,15.02871754138497,eric-zeier-1,tom-savage-1,glenn-foley-1
nathan-peterman-1,PeteNa00,2,16.757657437846454,matt-flynn-1,craig-krenzel-1,jacoby-brissett-2
