cfbref_id,pfr_id,av,season,pick,age,height_inches,weight,forty,vertical,broad_jump,shuttle,bench,cone,g,att,rush_att,srs,sos,off_plus,yards_plus,cmp_plus,td_plus,int_plus,rush_yards_plus,rush_tds_plus,predicted_av
brian-brohm-1,BrohBr00, 0.000000,2008, 56,22,75,227,4.810000,30.00000,115.0000,4.550000,18.79227,7.130000,44,1185,172, 13.18386364, 1.18750000,157.46059, 2444.981918, 86.61892383, 12.93160017,-14.74823166, -675.208977,  1.832289182,34.7315094
brian-griese-1,GrieBr00,44.000000,1998, 91,23,75,215,4.602048,34.69976,117.9962,4.261658,17.67554,7.101975,33, 516, 85, 16.43666667, 6.62666667, 99.35091,   20.381415, 25.86791844,  2.51892353, -3.83973342, -422.811629,  0.585581954,20.0233562
brock-huard-1,HuarBr00, 2.000000,1999, 77,23,76,232,5.120000,30.50000,107.0000,4.440000,19.25758,7.335714,30, 776,114, 12.95400000, 6.84800000,121.99332,  189.904172,  3.16526958, 13.69944882, -0.90136191, -492.228258, -1.525069874, 7.0027354
brock-osweiler-1,OsweBr00,10.000000,2012, 57,21,79,240,4.830000,33.63690,116.0922,4.410656,20.00207,7.297255,25, 680,137,  4.84320000, 3.06600000,109.29930,  167.821968,  2.10515675, -2.22899756, -4.71239101, -385.057307, -2.198034049,25.3814676
brock-purdy-1,PurdBr00,31.608641,2022,262,22,73,212,4.840000,27.00000,104.2030,4.450000,17.39635,7.210000,48,1467,365,  9.70750000, 4.27562500,108.03446, 1159.277542, 97.46481739,  0.45907207, -4.91670782, -487.373048,  1.991295111,26.9573039
brodie-croyle-1,CroyBr00, 2.000000,2006, 85,23,74,205,4.880000,30.50000,104.0000,4.250000,16.74492,7.340000,39, 869,183, 10.89307692, 4.30153846, 93.96644,  232.824916, -8.84036639, -0.66642158, -6.75038823, -933.608550, -3.699981188, 2.3650507
browning-nagle-1,NaglBr00, 5.000000,1991, 34,23,75,225,4.656382,34.12876,116.9733,4.297173,18.60615,7.148521,33, 598, 96,  3.97333333,-3.01666667,110.87438,  433.190568, 11.08947553,  6.34289829, -5.07101122, -536.605005, -0.713377371,12.5293945
bruce-gradkowski-1,GradBr00, 8.000000,2006,194,23,73,220,4.590000,34.00000,107.0000,4.160000,18.14084,7.120000,49,1123,248,  1.32102041,-5.49183673,128.02327, 1267.175225,122.81816099, 30.82738088, -9.99203295,   -9.194538,  3.748168844,28.5581428
bryce-petty-1,PettBr01, 4.000000,2015,103,24,75,230,4.870000,34.00000,121.0000,4.130000,19.07145,6.910000,37, 845,192, 14.84459459, 2.62891892,167.62903, 2072.822352, 27.47517049, 18.28810272,-14.31790669, -543.140245, 12.032426526,13.6134104
bucky-richardson-1,RichBu00, 3.000000,1992,220,23,73,228,4.672682,33.77514,116.3398,4.307827,18.88533,7.162485,46, 405,370, 11.88608696, 1.90652174,126.17802,  218.020048,-19.98824100, -3.20301844,  5.35871469,  621.476067, 15.875316287,12.4328303
byron-leftwich-1,LeftBy00,33.000000,2003,  7,23,77,245,4.850000,33.16908,115.2542,4.423728,20.46737,7.314388,61,1442,190,  3.56196721,-7.63491803,128.94519, 1848.406827,144.23658856, 21.01331523,-22.35531216, -586.546757, -1.990685662,42.5180718
