pos,year,age,av,player_id,g,gs
QB,1987,28,2,EasoTo00,4,3
QB,1988,29,1,EasoTo00,2,2
QB,1989,30,3,EasoTo00,5,5
QB,1990,31,1,EasoTo00,16,0
QB,1984,24,5,OBriKe00,10,5
QB,1985*,25,15,OBriKe00,16,16
QB,1986,26,13,OBriKe00,15,14
QB,1987,27,10,OBriKe00,12,12
QB,1988,28,10,OBriKe00,14,12
QB,1989,29,7,OBriKe00,15,12
QB,1990,30,11,OBriKe00,16,16
QB,1991*,31,12,OBriKe00,16,16
QB,1992,32,2,OBriKe00,10,3
QB,1993,33,2,OBriKe00,5,4
QB,1983*,22,10,MariDa00,11,9
QB,1984*+,23,21,MariDa00,16,16
QB,1985*+,24,15,MariDa00,16,16
QB,1986*+,25,19,MariDa00,16,16
QB,1987*,26,12,MariDa00,12,12
QB,1988,27,14,MariDa00,16,16
QB,1989,28,12,MariDa00,16,16
QB,1990,29,12,MariDa00,16,16
QB,1991*,30,15,MariDa00,16,16
QB,1992*,31,15,MariDa00,16,16
QB,1993,32,5,MariDa00,5,5
QB,1994*,33,15,MariDa00,16,16
QB,1995*,34,12,MariDa00,14,14
QB,1996,35,9,MariDa00,13,13
QB,1997,36,13,MariDa00,16,16
QB,1998,37,10,MariDa00,16,16
QB,1999,38,7,MariDa00,11,11
QB,1983,23,0,ChriJe20,1,0
QB,1987,27,2,ChriJe20,3,2
QB,1986,25,1,CollRe20,4,1
QB,1987,26,0,CollRe20,2,0
QB,1986,27,0,LaufBa00,1,0
QB,1988,29,3,LaufBa00,8,6
QB,1989,30,0,LaufBa00,3,0
QB,1990,31,1,LaufBa00,4,1
QB,1983,22,1,KubiGa00,4,1
QB,1984,23,2,KubiGa00,7,2
QB,1985,24,0,KubiGa00,16,0
QB,1986,25,1,KubiGa00,16,0
QB,1987,26,0,KubiGa00,12,0
QB,1988,27,2,KubiGa00,16,1
QB,1989,28,1,KubiGa00,16,1
QB,1990,29,1,KubiGa00,16,0
QB,1991,30,0,KubiGa00,16,0
QB,1986,25,0,RamsTo00,5,0
QB,1987,26,4,RamsTo00,9,3
QB,1988,27,0,RamsTo00,7,1
QB,1989,28,1,RamsTo00,7,1
QB,1983,24,0,MathBr00,1,0
QB,1984,25,0,MathBr00,2,0
QB,1985,26,4,MathBr00,10,7
QB,1986,27,0,MathBr00,2,0
QB,1987,28,2,MathBr00,3,2
QB,1983,24,0,TaylJi20,8,0
QB,1984,23,2,EsiaBo00,10,4
QB,1985,24,14,EsiaBo00,15,14
QB,1986*,25,15,EsiaBo00,16,16
QB,1987,26,11,EsiaBo00,12,12
QB,1988*+,27,19,EsiaBo00,16,16
QB,1989*,28,15,EsiaBo00,16,15
QB,1990,29,13,EsiaBo00,16,16
QB,1991,30,8,EsiaBo00,14,14
QB,1992,31,3,EsiaBo00,12,11
QB,1993*,32,12,EsiaBo00,16,16
QB,1994,33,8,EsiaBo00,15,14
QB,1995,34,3,EsiaBo00,12,12
QB,1996,35,7,EsiaBo00,10,8
QB,1997,36,7,EsiaBo00,7,5
QB,1985,24,0,HostJe00,5,0
QB,1986,25,0,HostJe00,13,0
QB,1988,27,1,HostJe00,16,1
QB,1989,28,2,HostJe00,16,1
QB,1990,29,4,HostJe00,16,2
QB,1991,30,10,HostJe00,12,12
QB,1992,31,7,HostJe00,13,9
QB,1993,32,12,HostJe00,15,15
QB,1994*,33,11,HostJe00,16,16
QB,1995,34,6,HostJe00,11,11
QB,1996,35,9,HostJe00,13,13
QB,1997,36,3,HostJe00,6,3
QB,1984,24,0,McIvRi20,4,0
QB,1985,25,0,McIvRi20,2,0
QB,1985,24,4,SchrJa00,9,5
QB,1986*,25,14,SchrJa00,16,16
QB,1987,26,8,SchrJa00,11,10
QB,1988,27,6,SchrJa00,9,8
QB,1989,28,5,SchrJa00,11,9
QB,1990,29,14,SchrJa00,16,16
QB,1991,30,10,SchrJa00,15,15
QB,1992,31,4,SchrJa00,13,9
QB,1993,32,2,SchrJa00,9,3
QB,1994,33,4,SchrJa00,9,8
QB,1984,22,0,PellSt00,1,0
QB,1985,23,0,PellSt00,2,0
QB,1986,24,10,PellSt00,16,9
QB,1987,25,3,PellSt00,12,4
QB,1988,26,10,PellSt00,16,14
QB,1989,27,2,PellSt00,5,3
QB,1990,28,0,PellSt00,13,0
QB,1984,22,0,MayxDe20,2,0
QB,1987,25,0,MayxDe20,3,0
QB,1987,25,0,BennBe20,1,0
QB,1984,23,1,WrigRa00,8,1
QB,1985,24,2,WrigRa00,5,1
QB,1986,25,8,WrigRa00,16,16
QB,1987,26,3,WrigRa00,9,7
QB,1988,27,1,WrigRa00,8,7
QB,1987,26,0,NugeTe20,1,0
QB,1984,22,1,WitkJo00,3,1
QB,1988,26,0,WitkJo00,2,0
QB,1984,22,0,CampSc00,5,0
QB,1985,23,2,CampSc00,16,2
QB,1986,24,0,CampSc00,4,0
QB,1987,25,4,CampSc00,12,9
QB,1989,27,0,CampSc00,1,0
QB,1990,28,2,CampSc00,7,2
QB,1984,23,0,KielBl00,10,0
QB,1986,25,1,KielBl00,3,0
QB,1987,26,1,KielBl00,4,1
QB,1988,27,0,KielBl00,1,0
QB,1990,29,1,KielBl00,3,1
QB,1991,30,1,KielBl00,4,1
QB,1987,25,3,MackKy00,3,3
QB,1989,27,0,MackKy00,4,1
QB,1985,22,3,CunnRa00,6,4
QB,1986,23,7,CunnRa00,15,5
QB,1987,24,11,CunnRa00,12,12
QB,1988*,25,17,CunnRa00,16,16
QB,1989*,26,16,CunnRa00,16,16
QB,1990*,27,20,CunnRa00,16,16
QB,1991,28,0,CunnRa00,1,1
QB,1992,29,15,CunnRa00,15,15
QB,1993,30,3,CunnRa00,4,4
QB,1994,31,11,CunnRa00,14,14
QB,1995,32,2,CunnRa00,7,4
QB,1997,34,2,CunnRa00,6,3
QB,1998*+,35,19,CunnRa00,15,14
QB,1999,36,5,CunnRa00,6,6
QB,2000,37,4,CunnRa00,6,3
QB,2001,38,2,CunnRa00,6,2
QB,1985,24,0,ReicFr00,1,0
QB,1986,25,0,ReicFr00,3,0
QB,1988,27,0,ReicFr00,3,0
QB,1989,28,3,ReicFr00,7,3
QB,1990,29,2,ReicFr00,16,2
QB,1991,30,1,ReicFr00,16,1
QB,1992,31,1,ReicFr00,16,0
QB,1993,32,0,ReicFr00,15,0
QB,1994,33,2,ReicFr00,16,2
QB,1995,34,1,ReicFr00,3,3
QB,1996,35,5,ReicFr00,10,7
QB,1997,36,0,ReicFr00,6,0
QB,1998,37,2,ReicFr00,6,2
QB,1985,23,0,BonoSt00,1,0
QB,1986,24,0,BonoSt00,1,0
QB,1987,25,2,BonoSt00,3,3
QB,1988,26,0,BonoSt00,2,0
QB,1989,27,0,BonoSt00,1,0
QB,1991,29,7,BonoSt00,9,6
QB,1992,30,2,BonoSt00,16,0
QB,1993,31,2,BonoSt00,8,0
QB,1994,32,2,BonoSt00,7,2
QB,1995*,33,11,BonoSt00,16,16
QB,1996,34,8,BonoSt00,14,13
QB,1997,35,0,BonoSt00,2,0
QB,1998,36,2,BonoSt00,6,2
QB,1999,37,0,BonoSt00,2,0
QB,1985,23,0,HilgRu00,4,0
QB,1986,24,1,HilgRu00,2,0
QB,1987,25,2,HilgRu00,5,5
QB,1988,26,2,HilgRu00,11,9
QB,1991,29,0,HilgRu00,1,0
QB,1986,24,1,FlutDo00,4,1
QB,1987,25,1,FlutDo00,2,1
QB,1988,26,3,FlutDo00,11,9
QB,1989,27,2,FlutDo00,5,3
QB,1998*,36,14,FlutDo00,13,10
QB,1999,37,14,FlutDo00,15,15
QB,2000,38,7,FlutDo00,11,5
QB,2001,39,11,FlutDo00,16,16
QB,2002,40,0,FlutDo00,1,0
QB,2003,41,5,FlutDo00,7,5
QB,2004,42,2,FlutDo00,2,1
QB,2005,43,0,FlutDo00,5,0
QB,1986,23,3,EverJi00,6,5
QB,1987,24,9,EverJi00,11,11
QB,1988,25,15,EverJi00,16,16
QB,1989,26,14,EverJi00,16,16
QB,1990*,27,13,EverJi00,16,16
QB,1991,28,9,EverJi00,16,16
QB,1992,29,12,EverJi00,16,16
QB,1993,30,4,EverJi00,10,9
QB,1994,31,11,EverJi00,16,16
QB,1995,32,11,EverJi00,16,16
QB,1996,33,6,EverJi00,15,15
QB,1997,34,1,EverJi00,4,1
QB,1986,23,1,LongCh00,3,2
QB,1987,24,7,LongCh00,12,12
QB,1988,25,3,LongCh00,7,7
QB,1989,26,0,LongCh00,1,0
QB,1990,27,0,LongCh00,4,0
QB,1991,28,0,LongCh00,0,0
QB,1986,24,2,TrudJa00,12,11
QB,1987,25,6,TrudJa00,10,8
QB,1988,26,1,TrudJa00,2,2
QB,1989,27,7,TrudJa00,13,12
QB,1990,28,4,TrudJa00,6,4
QB,1991,29,0,TrudJa00,2,0
QB,1992,30,3,TrudJa00,11,5
QB,1993,31,0,TrudJa00,5,5
QB,1994,32,2,TrudJa00,5,2
QB,1995,33,0,TrudJa00,1,0
QB,1986,24,1,BrisBu00,2,2
QB,1987,25,0,BrisBu00,2,0
QB,1988,26,9,BrisBu00,13,13
QB,1989,27,7,BrisBu00,14,14
QB,1990,28,10,BrisBu00,16,16
QB,1991,29,4,BrisBu00,8,8
QB,1992,30,3,BrisBu00,6,4
QB,1993,31,6,BrisBu00,10,8
QB,1994,32,1,BrisBu00,7,2
QB,1995,33,-4,BrisBu00,9,4
QB,1997,35,0,BrisBu00,1,0
QB,1998,36,5,BrisBu00,7,4
QB,1999,37,0,BrisBu00,2,0
QB,2000,38,0,BrisBu00,2,0
QB,1987,24,0,MillHu00,1,0
QB,1988,25,1,MillHu00,3,0
QB,1989,26,1,MillHu00,5,1
QB,1990,27,1,MillHu00,3,2
QB,1991,28,7,MillHu00,13,13
QB,1992,29,2,MillHu00,7,7
QB,1994,31,3,MillHu00,5,2
QB,1995,32,1,MillHu00,3,0
QB,1986,23,0,GaynDo20,1,0
QB,1988,26,6,RypiMa00,9,6
QB,1989*,27,11,RypiMa00,14,14
QB,1990,28,7,RypiMa00,10,10
