pos,av,g,gs,player_id
RB,0,3,0,JessTi20
,0,3,NA,AdamDa20
RB,0,3,0,AdamDa20
,0,7,NA,ValeIr20
RB,0,7,0,ValeIr20
,0,12,NA,BursTo20
RB,0,12,0,BursTo20
,0,3,NA,HoliJo20
RB,0,3,0,HoliJo20
,0,9,NA,DaviEl20
RB,0,9,0,DaviEl20
RB,12,44,16,GreeGa00
RB,20,60,43,StepJo00
RB,19,56,16,WhitLo00
FB,20,43,42,MustBr00
RB,4,16,0,MustBr00
FB,10,43,29,HeywCr00
RB,2,7,4,HeywCr00
FB,17,26,16,WoodIc00
RB,2,11,4,WoodIc00
,0,3,NA,JeffTo20
RB,0,3,0,JeffTo20
RB,64,62,62,ThomTh00
,8,33,19,TateLa00
RB,8,33,19,TateLa00
RB,17,64,50,WoodKe00
,2,26,NA,OlipMi00
RB,2,26,0,OlipMi00
,5,33,7,MorrJa00
RB,5,33,7,MorrJa00
,7,31,21,HowaWi00
FB,7,31,21,HowaWi00
RB,19,62,21,DelpRo00
,2,22,10,JordTo00
RB,2,22,10,JordTo00
FB,6,54,6,SaxoJa00
,1,27,NA,PainCa20
RB,1,27,0,PainCa20
,2,16,2,JoneKe00
RB,2,16,2,JoneKe00
RB,10,50,17,WillWa00
,2,16,5,GoodKe00
RB,2,15,5,GoodKe00
RB,9,46,11,HiggMa00
,1,21,6,PrimJa00
RB,1,21,6,PrimJa00
RB,1,37,3,AlleMa01
RB,57,62,60,SandBa00
Missed season - Violation of league substance abuse policy,NA,NA,NA,WorlTi00
RB,11,28,22,WorlTi00
RB,14,44,35,SmitSa00
RB,26,56,29,MetcEr00
RB,21,51,25,GaryCl00
FB,4,31,23,BallEr00
RB,1,19,5,BallEr00
FB,3,15,10,JoneKe01
RB,8,35,20,JoneKe01
,4,36,1,DrumRo00
RB,4,36,1,DrumRo00
RB,12,37,1,HendKe00
RB,6,64,4,TillLe00
RB,14,56,10,WorkVi00
RB,6,53,5,GreeMa00
RB,26,64,5,MeggDa00
FB,14,30,13,SherHe00
RB,4,31,6,SherHe00
,5,36,4,TaylCr00
RB,5,36,4,TaylCr00
,4,32,6,BratMe00
RB,4,32,6,BratMe00
,1,45,13,HuntIv00
FB,1,13,11,HuntIv00
RB,0,32,2,HuntIv00
RB,28,60,41,ButtMa00
RB,1,30,1,GainDe00
RB,0,33,1,BrowAB00
,0,7,NA,EguxPa00
RB,0,7,0,EguxPa00
RB,15,48,24,FennDe00
RB,1,64,10,JohnTr00
,1,10,NA,PateGr20
RB,1,10,0,PateGr20
,0,6,NA,FloyVi20
RB,0,6,0,FloyVi20
FB,15,47,39,BaxtBr00
RB,0,1,0,BaxtBr00
RB,19,51,35,ThomBl00
RB,66,62,60,SmitEm00
FB,4,13,13,ThomDa01
RB,13,39,15,ThomDa01
RB,15,50,16,BrouSt00
RB,40,57,42,HampRo00
RB,15,51,20,CartDe00
FB,5,16,13,CobbRe00
RB,16,44,34,CobbRe00
RB,6,38,7,ThomAn00
FB,6,22,14,JohnAn00
RB,7,31,13,JohnAn00
FB,9,26,19,GreeHa00
RB,15,31,30,GreeHa00
FB,4,52,14,GardCa00
FB,5,16,7,HoarLe00
RB,13,46,23,HoarLe00
RB,15,62,31,WarrCh00
,3,31,2,ChafPa00
RB,3,31,2,ChafPa00
RB,29,51,34,FostBa00
FB,1,41,9,SmitCe00
,0,3,NA,PrinMi20
RB,0,3,0,PrinMi20
RB,0,35,0,WilsMa20
RB,31,56,44,JohnJo00
,1,30,4,RousJa20
RB,1,30,4,RousJa20
RB,11,55,3,BailJo00
FB,5,15,6,AlleTe00
Missed season - Injured (knee),NA,NA,NA,AlleTe00
RB,21,32,32,AlleTe00
FB,4,16,11,LangDa00
RB,2,35,0,LangDa00
RB,21,57,53,RussLe00
RB,19,51,17,WillHa00
FB,7,48,22,BuncJa00
RB,7,62,0,BienEr00
,8,35,5,BellNi00
RB,8,35,5,BellNi00
RB,57,59,58,WattRi00
FB,6,16,10,CravAa00
RB,4,28,0,CravAa00
RB,23,62,11,ErviRi00
FB,2,16,15,WilsRo00
RB,0,8,0,WilsRo00
RB,3,49,0,BaldRa00
,2,12,NA,RichCu00
RB,2,12,0,RichCu00
RB,10,61,9,VaugJo00
,5,32,6,LewiGr00
RB,5,32,6,LewiGr00
RB,18,61,27,PegrEr00
RB,6,51,5,McAfFr00
RB,18,59,9,ThomLe00
,5,33,6,LewiDa00
RB,5,33,6,LewiDa00
,2,7,5,BrowIv00
RB,2,7,5,BrowIv00
FB,7,30,10,JoseJa00
RB,3,32,3,JoseJa00
,0,1,NA,CanlSh20
RB,0,1,0,CanlSh20
,0,8,1,JackCe20
RB,0,8,1,JackCe20
,1,8,NA,DingMi00
RB,1,8,0,DingMi00
RB,15,55,16,BrowGa00
,2,36,4,ThomEr00
RB,1,20,2,ThomEr00
FB,12,35,27,VardTo00
RB,0,5,0,VardTo00
,4,33,6,SmitTo00
RB,4,33,6,SmitTo00
RB,9,53,20,DunbVa00
RB,19,60,9,LeexAm00
RB,5,43,5,CulvRo00
FB,36,48,45,BennEd00
RB,3,16,2,BennEd00
,0,33,NA,McNaDe20
FB,0,33,0,McNaDe20
RB,7,41,9,GrahSc00
,1,6,NA,LockSc00
RB,1,6,0,LockSc00
,9,42,13,MoorDe00
RB,9,42,13,MoorDe00
,1,26,2,MileOs00
RB,1,26,2,MileOs00
,1,33,1,RoysMa00
RB,1,33,1,RoysMa00
FB,2,32,14,EvanCh00
RB,1,17,0,EvanCh00
,0,6,NA,TillEd20
FB,0,6,0,TillEd20
RB,18,46,32,HearGa00
RB,36,63,53,BettJe00
RB,12,41,16,SmitRo00
RB,28,56,29,MeanNa00
RB,14,41,20,BrooRe00
FB,10,31,30,PottRo00
RB,5,24,16,PottRo00
RB,32,50,26,KirbTe00
RB,12,63,30,MoorRo01
FB,5,50,25,NealLo00
,1,18,2,HarrRu20
RB,1,18,2,HarrRu20
,3,10,3,LassDe00
RB,3,10,3,LassDe00
RB,18,56,21,BrowDe01
RB,18,57,26,MurrAd00
,7,28,13,RobiGr00
RB,7,28,13,RobiGr00
RB,49,61,61,FaulMa00
RB,20,63,19,HillGr00
FB,19,48,42,FloyWi00
RB,19,52,31,RhetEr00
Missed season - Violation of league substance abuse policy,NA,NA,NA,LevyCh00
RB,3,37,0,LevyCh00
FB,3,10,8,GarnCh00
RB,12,46,6,GarnCh00
RB,18,53,40,BateMa00
RB,5,48,2,BennDo00
,3,39,28,CothJe00
FB,3,39,28,CothJe00
RB,11,42,4,SmitLa00
,1,16,NA,JoneCa00
RB,1,16,0,JoneCa00
RB,3,22,0,JohnLe01
RB,24,50,25,MorrBa00
RB,2,38,1,DownGa00
FB,6,16,11,HarrRa00
RB,13,26,24,HarrRa00
RB,30,61,29,LeveDo00
RB,9,49,4,WarrLa00
RB,22,51,27,AndeJa00
RB,9,35,14,CartKi00
RB,10,46,8,WheaTy00
RB,30,61,39,KaufNa00
RB,21,46,27,StewJa00
RB,13,33,20,SalaRa00
FB,9,36,29,ZellRa00
RB,1,12,0,ZellRa00
RB,11,59,3,WillSh00
RB,14,57,6,FletTe00
RB,50,60,58,MartCu00
FB,5,49,18,CrocZa00
,3,23,2,AskaJo00
RB,3,23,2,AskaJo00
RB,14,59,11,ThomRo00
RB,5,32,4,HaydAa00
,1,4,NA,StewJa20
RB,1,4,0,StewJa20
RB,0,27,0,ChriRy20
RB,4,56,5,JervTr00
RB,70,61,61,DaviTe00
FB,14,48,43,WayxCh00
RB,1,16,4,WayxCh00
,0,11,NA,BouiKe20
RB,0,6,0,BouiKe20
RB,17,59,7,HolmDa00
RB,13,39,29,PhilLa00
RB,17,33,20,BiakTi00
RB,49,64,64,GeorEd00
,5,30,14,McElLe00
RB,5,30,14,McElLe00
FB,31,63,63,AlstMi00
RB,4,49,1,WillMo00
RB,26,60,52,AbduKa00
RB,5,42,14,MoorJe00
FB,3,16,12,DaviSt00
RB,19,40,20,DaviSt00
RB,11,46,3,HuntRi00
,1,18,NA,HallTi20
RB,1,18,0,HallTi20
FB,3,16,14,GreeSc00
RB,0,18,0,GreeSc00
,2,32,NA,GrieMa00
RB,2,32,0,GrieMa00
,1,10,1,BradFr00
RB,1,10,1,BradFr00
,1,7,NA,HickMi20
RB,1,7,0,HickMi20
RB,51,63,53,DunnWa00
RB,21,57,28,SmitAn00
RB,32,60,23,BarbTi00
,8,28,4,HansBy00
RB,8,28,4,HansBy00
RB,39,62,52,DillCo00
RB,2,19,1,ShawSe00
,4,46,11,DaviTr00
RB,4,46,11,DaviTr00
RB,3,33,4,GrahJa00
RB,22,53,34,StalDu00
RB,9,32,3,JohnLe00
,9,37,13,AutrDa00
RB,7,24,10,AutrDa00
RB,4,53,5,BynuKe00
,4,34,1,JoneGe00
RB,4,34,1,JoneGe00
,4,11,3,HenlJu00
RB,4,11,3,HenlJu00
,10,36,18,EnisCu00
FB,1,12,5,EnisCu00
RB,9,24,13,EnisCu00
RB,34,40,36,TaylFr00
Missed season - Injured (groin),NA,NA,NA,EdwaRo00
Missed season - Injured (knee/leg),NA,NA,NA,EdwaRo00
RB,11,16,15,EdwaRo00
RB,4,30,0,AverJo00
FB,6,29,16,HolcRo00
RB,3,29,6,HolcRo00
RB,9,38,8,HickSk00
RB,34,62,27,GreeAh00
RB,0,44,2,FloyCh00
