pos,av,g,gs,player_id
TE,6,46,28,JordAn00
WR,24,60,36,SchrBi00
TE,7,56,30,CrumCa00
,2,30,4,GreeTr01
TE,1,23,2,GreeTr01
WR,22,46,34,WestMi00
WR,45,63,63,GallJo00
TE,8,63,56,BradKy00
TE,5,60,57,BrueMa00
TE,8,56,36,FaurCh00
WR,29,64,63,SandFr00
TE,18,62,59,DilgKe00
,0,16,NA,WatkKe20
TE,0,16,0,WatkKe20
WR,23,61,41,SandCh00
TE,7,44,26,SloaDa00
,10,32,17,JoneCh01
WR,10,32,17,JoneCh01
WR,41,54,43,FreeAn00
TE,3,50,17,RoanMi00
TE,3,28,1,DaviTy00
WR,0,4,0,DaviTy00
TE,9,58,29,BjorEr00
WR,7,39,16,ArmoJu00
,0,8,NA,PinkLo20
TE,0,8,0,PinkLo20
TE,17,64,40,MitcPe00
TE,2,52,9,ClinTo00
TE,14,48,34,AsheJa00
,0,9,NA,McCoKe20
WR,0,9,0,McCoKe20
,0,12,1,ElliOm20
WR,0,12,1,ElliOm20
,2,23,4,DeRaLe00
WR,2,23,4,DeRaLe00
,1,15,NA,MarsCu00
WR,1,15,0,MarsCu00
TE,1,42,0,ChamBy00
WR,40,62,59,JohnKe00
WR,33,48,46,GlenTe00
TE,20,64,62,DudlRi00
WR,22,61,52,KennEd00
WR,43,60,58,HarrMa00
WR,32,62,42,MoulEr00
WR,2,38,1,VanDAl00
WR,17,55,17,ToomAm00
TE,4,64,0,BattMa00
WR,8,52,14,StilBr00
WR,30,53,41,MuhaMu00
WR,21,59,43,EngrBo00
TE,5,55,28,DunnJa00
WR,15,45,24,MayeDe00
TE,5,36,31,ConwEr00
TE,5,59,26,McWiJo00
,1,22,1,RochBr00
TE,1,22,1,RochBr00
TE,1,41,4,SlutSc00
WR,35,62,49,OwenTe00
,3,26,NA,WillSt00
WR,3,26,0,WillSt00
TE,1,55,16,GoodHu00
WR,9,38,16,JoneCh00
WR/WR,5,16,11,JoneCh00
WR,8,49,2,HornJo00
WR,1,19,0,HayeMe21
WR,16,37,11,JeffPa00
WR,4,43,0,UwaeIh00
,0,3,2,GuesTe00
WR,0,3,2,GuesTe00
WR,1,41,4,JellDi00
WR,1,21,3,DoerCh00
,2,23,7,RoexJa00
WR,2,23,7,RoexJa00
,1,27,8,JohnTo00
TE,1,27,8,JohnTo00
,0,17,8,ClayHa00
TE,0,14,6,ClayHa00
TE,2,36,7,PurnLo00
,0,11,NA,ManuSe20
TE,0,11,0,ManuSe20
TE,13,58,34,RiemJa00
,2,22,5,LuskHe00
TE,2,19,4,LuskHe00
,1,13,NA,HuntBr00
WR,1,13,0,HuntBr00
WR,22,48,48,HillIk00
TE,29,63,47,GonzTo00
,2,8,1,GreeYa00
WR,2,8,1,GreeYa00
WR,21,60,34,AnthRe00
TE,7,60,44,LaFlDa00
,8,22,20,CarrRa00
WR,8,22,20,CarrRa00
TE,3,40,12,AllrJo00
TE,18,61,56,JoneFr00
,2,30,NA,KentJo00
WR,2,30,0,KentJo00
WR,11,54,6,LockKe00
WR,8,46,2,BlacWi00
TE,9,55,39,ClarGr00
WR,17,59,31,WardDe00
WR,17,61,12,MasoDe00
WR,18,35,26,RobiMa00
WR,23,50,32,ConnAl00
WR,14,48,23,PoolKe00
,3,25,5,BrooMa00
WR,3,25,5,BrooMa00
,0,37,3,ChryPe00
TE,0,37,3,ChryPe00
