player_id,season,av
SmitAk00,1999,2
SmitAl03,2005,14
SmitBr01,2006,NA
SmitGe00,2013,16
SmitRu01,2010,1
SmitTr02,2007,6
SoreBr00,2013,NA
SorgJi00,2004,5
St,2003,NA
StafMa00,2009,47
StanDr00,2007,4
StanIs00,2007,NA
StanNa00,2020,NA
StanRi00,2011,NA
StenSt00,1995,6
StevTo01,2020,NA
StewKo00,1995,36
SticEa00,2019,0.44375300148833624
StidJa00,2019,5.385697106002974
StouKe00,1987,5
SudfNa00,2016,1
SweeKe00,1987,2
TagoTu00,2020,40.279130027722175
TannRy00,2012,55
TaylJi20,1983,0
TaylTr00,1990,0
TaylTy00,2011,15
TeboTi00,2010,12
TeelMi00,2009,NA
TestVi00,1987,32
ThigTy00,2007,10
ThomLo00,2014,NA
ThomSk00,2022,16.233659503263254
ThorCl00,2019,NA
TollBi00,1989,17
ToreGi00,1993,0
TrasKy00,2021,3.8144195326242114
TrocRi20,1981,NA
TrubMi00,2017,35
TrudJa00,1986,20
TuiaMa00,2001,1
TupaTo20,1988,NA
VanPAl00,1993,2
VanPBr00,2004,NA
VickMi00,2001,53
VlasMa00,1987,3
WalkJa22,1994,0
WallSe00,2003,5
WaltAn00,2005,1
WaltDa20,1987,1
WareAn00,1990,5
WatsDe00,2017,55
WebbDa00,2017,0
WeedBr00,2012,14
WeinCh00,2001,7
WeldCa00,1992,1
WennKe00,2014,NA
WentCa00,2016,49
WhelCr00,1995,1
WhitCh02,2006,2
WhitMi01,2018,5
WhitPa01,2009,NA
WilhEr00,1989,3
WillMa12,2022,12.38991416104181
WillPe00,1990,4
WilsMa00,1980,16
WilsRu00,2012,85
WilsTy00,2013,NA
WilsWa00,1981,0
WilsZa00,2021,24.046465917457553
WinsJa00,2015,59
WitkJo00,1984,1
WoodAn00,2008,NA
WoodDa00,1980,33
WoodLo00,2018,NA
WrigRa00,1984,15
WuerDa00,1997,4
WynnSp00,2000,2
YateT,2011,NA
YounVi00,2006,33
ZappBa00,2022,16.233659503263254
ZeieEr00,1995,5
ZolaSc00,1991,3
