cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
denarius-moore-1,MoorDe02,16,13.963418688101948,legedu-naanee-1,peter-warrick-1,craphonso-thorpe-1
dennis-northcutt-1,NortDe00,20,14.455275491153447,tyler-boyd-1,nate-lewis-1,courtney-hawkins-1
deon-butler-1,ButlDe00,4,14.109780210236323,jabar-gaffney-1,sammie-coates-1,sam-aiken-1
deon-cain-1,CainDe00,2,13.393513637455378,lavelle-hawkins-1,cody-core-1,tavon-austin-1
derek-hagan-1,HagaDe00,5,16.142009352911845,chris-godwin-1,reggie-wayne-1,sammie-stroughter-1
derek-hill-1,HillDe00,8,13.284381516801167,david-daniels-2,george-thomas-2,limas-sweed-1
derek-russell-1,RussDe00,15,14.10425135596918,adrian-arrington-1,jeff-campbell-1,devante-parker-1
derrick-alexander-1,AlexDe00,30,13.320402984331048,ben-obomanu-1,greg-little-1,cedrick-wilson-1
derrick-mason-1,MasoDe00,17,12.980176465253694,anthony-morgan-2,ed-mccaffrey-1,mohamed-sanu-1
derrick-mayes-1,MayeDe00,15,14.096694173245236,greg-little-1,anquan-boldin-1,josh-doctson-1
desean-jackson-1,JackDe00,42,14.201040973728238,keith-poole-1,donte-moncrief-1,jeremy-kerley-1
devante-parker-1,ParkDe01,16,13.269598196828891,legedu-naanee-1,ashley-lelie-1,leonard-hankerson-1
devard-darling-1,DarlDe00,2,14.033986222697354,travis-mcgriff-1,david-terrell-1,adrian-arrington-1
devery-henderson-1,HendDe00,13,13.336069077775631,terrance-williams-2,ernie-jones-3,travis-mcgriff-1
devier-posey-1,PoseDe00,2,13.769504766171483,syndric-steptoe-1,tavon-austin-1,david-terrell-1
devin-aromashodu-1,AromDe00,9,14.445448879012881,sidney-rice-1,craphonso-thorpe-1,kelvin-martin-1
devin-funchess-1,FuncDe00,21,14.518735161759574,george-thomas-2,keary-colbert-1,allen-robinson-1
devin-smith-2,SmitDe04,2,11.859187398492324,mark-bellini-1,marquise-goodwin-1,alexander-wright-1
devin-street-1,StreDe00,1,11.657941527666981,david-anderson-1,robert-woods-1,emmanuel-sanders-1
devin-thomas-1,ThomDe02,4,15.85089317899498,keyshawn-johnson-1,stedman-bailey-1,cody-latimer-1
