season,school_name,srs,sos,off_plus,def_plus
1960,kentucky,10.99,4.69,130.14648328301465,53.907768419812705
1960,tulane,5.29,6.99,83.39483394833948,93.17392072560222
1960,mississippi-state,5.64,8.53,70.75925304707593,87.84969668413923
1960,vanderbilt,-4.07,5.73,46.751649334675164,128.44690500029446
1960,utah-state,8.6,-5.31,157.3129822207313,51.24565639908121
1960,wyoming,8.98,-2.42,133.93715755339372,47.25248836798398
1960,utah,6.95,-1.96,122.5651347422565,59.897520466458566
1960,new-mexico,-1.8,-3.6,147.83629654478364,121.12609694328287
1960,montana,-6.97,-6.17,83.39483394833948,89.84628069968785
1960,brigham-young,-12.39,-4.39,58.755451190875554,125.11926497438012
1960,denver,-13.63,-1.53,84.02661299340267,199.65840155486188
1960,colorado-state,-14.49,-2.29,58.12367214581236,159.7267212438895
